State,Year,Quarter,Product Name,Units Reimbursed,percent
AR,1996,4,CHLORHEXID,0.0,0.0
LA,1996,1,PREDNISONE,0.0,0.0
WY,1996,4,PREDNISONE,0.0,0.0
OH,1996,1,PREDNISONE,0.0,0.0
VA,1996,3,PREDNISONE,0.0,0.0
AL,1996,4,PREDNISONE,0.0,0.0
MS,1996,1,PREDNISONE,0.0,0.0
IA,1996,3,PREDNISONE,0.0,0.0
MA,1996,4,PREDNISONE,0.0,0.0
DE,1996,1,PREDNISONE,0.0,0.0
ME,1996,2,PREDNISONE,0.0,0.0
PA,1996,1,PREDNISONE,0.0,0.0
SC,1996,4,PREDNISONE,0.0,0.0
WV,1996,2,PREDNISONE,0.0,0.0
SC,1996,4,PREDNISONE,0.0,0.0
MT,1996,1,PREDNISONE,0.0,0.0
OH,1996,1,PREDNISONE,0.0,0.0
NV,1996,1,PREDNISONE,0.0,0.0
NC,1996,2,PREDNISONE,0.0,0.0
NC,1996,3,PREDNISONE,0.0,0.0
ME,1996,4,PREDNISONE,0.0,0.0
IA,1996,1,PREDNISONE,0.0,0.0
TX,1996,1,PREDNISONE,0.0,0.0
CA,1996,2,PREDNISONE,0.0,0.0
WV,1996,4,PREDNISONE,0.0,0.0
MT,1996,1,PREDNISONE,0.0,0.0
CA,1996,2,PREDNISONE,0.0,0.0
ID,1996,4,PREDNISONE,0.0,0.0
MN,1996,4,PREDNISONE,0.0,0.0
SC,1996,4,PREDNISONE,0.0,0.0
MA,1996,3,PREDNISONE,0.0,0.0
KY,1996,2,PREDNISONE,0.0,0.0
CO,1996,3,PREDNISONE,0.0,0.0
NJ,1996,3,PREDNISONE,0.0,0.0
MN,1996,4,PREDNISONE,0.0,0.0
CT,1996,2,PREDNISONE,0.0,0.0
OK,1996,3,PREDNISONE,0.0,0.0
MA,1996,4,PREDNISONE,0.0,0.0
MT,1996,1,PREDNISONE,0.0,0.0
MA,1996,4,PREDNISONE,0.0,0.0
GA,1996,1,PREDNISONE,0.0,0.0
MD,1996,2,PREDNISONE,0.0,0.0
ND,1996,2,PREDNISONE,0.0,0.0
MD,1996,1,PREDNISONE,0.0,0.0
IL,1996,1,PREDNISONE,0.0,0.0
ND,1996,2,PREDNISONE,0.0,0.0
NM,1996,1,PREDNISONE,0.0,0.0
MD,1996,2,PREDNISONE,0.0,0.0
MT,1996,1,PREDNISONE,0.0,0.0
AK,1996,2,PREDNISONE,0.0,0.0
KY,1996,1,PREDNISONE,0.0,0.0
NV,1996,1,PREDNISONE,0.0,0.0
LA,1996,4,PREDNISONE,0.0,0.0
DC,1996,2,PREDNISONE,0.0,0.0
AK,1996,2,PREDNISONE,0.0,0.0
NY,1996,2,PREDNISONE,0.0,0.0
SD,1996,4,PREDNISONE,0.0,0.0
MN,1996,2,PREDNISONE,0.0,0.0
MI,1996,2,PREDNISONE,0.0,0.0
OK,1996,4,PREDNISONE,0.0,0.0
HI,1996,3,PREDNISONE,0.0,0.0
OH,1996,1,PREDNISONE,0.0,0.0
KY,1996,1,PREDNISONE,0.0,0.0
NE,1996,2,PREDNISONE,0.0,0.0
TX,1996,1,PREDNISONE,0.0,0.0
VA,1996,2,PREDNISONE,0.0,0.0
MA,1996,1,PREDNISONE,0.0,0.0
GA,1996,1,PREDNISONE,0.0,0.0
DE,1996,4,PREDNISONE,0.0,0.0
WV,1996,2,PREDNISONE,0.0,0.0
AK,1996,2,PREDNISONE,0.0,0.0
ME,1996,2,PREDNISONE,0.0,0.0
WA,1996,4,PREDNISONE,0.0,0.0
PA,1996,4,PREDNISONE,0.0,0.0
CA,1996,2,PREDNISONE,0.0,0.0
SD,1996,2,PREDNISONE,0.0,0.0
KS,1996,4,PREDNISONE,0.0,0.0
MA,1996,3,PREDNISONE,0.0,0.0
IL,1996,1,PREDNISONE,0.0,0.0
NC,1996,1,PREDNISONE,0.0,0.0
MT,1996,3,PREDNISONE,0.0,0.0
ND,1996,4,PREDNISONE,0.0,0.0
WY,1996,1,PREDNISONE,0.0,0.0
MI,1996,1,PREDNISONE,0.0,0.0
DE,1996,2,PREDNISONE,0.0,0.0
VA,1996,4,PREDNISONE,0.0,0.0
DC,1996,2,PREDNISONE,0.0,0.0
MI,1996,3,PREDNISONE,0.0,0.0
RI,1996,3,PREDNISONE,0.0,0.0
IL,1996,4,PREDNISONE,0.0,0.0
CO,1996,3,PREDNISONE,0.0,0.0
WI,1996,2,PREDNISONE,0.0,0.0
VT,1996,2,CHLORHEXID,0.0,0.0
OR,1996,3,PREDNISONE,0.0,0.0
HI,1996,3,PREDNISONE,0.0,0.0
MT,1996,1,PREDNISONE,0.0,0.0
WV,1996,3,PREDNISONE,0.0,0.0
RI,1996,2,PREDNISONE,0.0,0.0
WY,1996,1,PREDNISONE,0.0,0.0
SD,1996,3,PREDNISONE,0.0,0.0
NM,1996,3,PREDNISONE,0.0,0.0
FL,1996,4,PREDNISONE,0.0,0.0
NJ,1996,2,PREDNISONE,0.0,0.0
LA,1996,2,PREDNISONE,0.0,0.0
NY,1996,1,PREDNISONE,0.0,0.0
GA,1996,2,PREDNISONE,0.0,0.0
MO,1996,2,PREDNISONE,0.0,0.0
NY,1996,4,PREDNISONE,0.0,0.0
VT,1996,1,PREDNISONE,0.0,0.0
LA,1996,3,PREDNISONE,0.0,0.0
AL,1996,3,PREDNISONE,0.0,0.0
RI,1996,4,PREDNISONE,0.0,0.0
DC,1996,3,PREDNISONE,0.0,0.0
MT,1996,4,PREDNISONE,0.0,0.0
NE,1996,3,PREDNISONE,0.0,0.0
WI,1996,1,PREDNISONE,0.0,0.0
MT,1996,1,PREDNISONE,0.0,0.0
NJ,1996,1,PREDNISONE,0.0,0.0
MS,1996,1,PREDNISONE,0.0,0.0
DE,1996,4,PREDNISONE,0.0,0.0
ID,1996,1,PREDNISONE,0.0,0.0
IA,1996,3,PREDNISONE,0.0,0.0
NJ,1996,4,PREDNISONE,0.0,0.0
OR,1996,4,PREDNISONE,0.0,0.0
NM,1996,3,PREDNISONE,0.0,0.0
IL,1996,4,PREDNISONE,0.0,0.0
WY,1996,2,PREDNISONE,0.0,0.0
NC,1996,3,PREDNISONE,0.0,0.0
PA,1996,1,PREDNISONE,0.0,0.0
WA,1996,1,PREDNISONE,0.0,0.0
GA,1996,1,PREDNISONE,0.0,0.0
VA,1996,4,PREDNISONE,0.0,0.0
MA,1996,3,PREDNISONE,0.0,0.0
MA,1996,4,PREDNISONE,0.0,0.0
IL,1996,4,PREDNISONE,0.0,0.0
VT,1996,1,PREDNISONE,0.0,0.0
DC,1996,3,PREDNISONE,0.0,0.0
SC,1996,1,PREDNISONE,0.0,0.0
LA,1996,2,PREDNISONE,0.0,0.0
NV,1996,3,PREDNISONE,0.0,0.0
ND,1996,1,PREDNISONE,0.0,0.0
IN,1996,2,PREDNISONE,0.0,0.0
MN,1996,2,PREDNISONE,0.0,0.0
CT,1996,4,PREDNISONE,0.0,0.0
PA,1996,2,PREDNISONE,0.0,0.0
HI,1996,3,PREDNISONE,0.0,0.0
NV,1996,2,PREDNISONE,0.0,0.0
MT,1996,4,PREDNISONE,0.0,0.0
NV,1996,2,PREDNISONE,0.0,0.0
DE,1996,1,PREDNISONE,0.0,0.0
ID,1996,3,PREDNISONE,0.0,0.0
WA,1996,2,PREDNISONE,0.0,0.0
LA,1996,3,PREDNISONE,0.0,0.0
MD,1996,1,PREDNISONE,0.0,0.0
WY,1996,3,PREDNISONE,0.0,0.0
IL,1996,3,PREDNISONE,0.0,0.0
OR,1996,2,PREDNISONE,0.0,0.0
NV,1996,3,PREDNISONE,0.0,0.0
VT,1996,2,PREDNISONE,0.0,0.0
AK,1996,2,PREDNISONE,0.0,0.0
AK,1996,2,PREDNISONE,0.0,0.0
OH,1996,4,PREDNISONE,0.0,0.0
OR,1996,2,PREDNISONE,0.0,0.0
MI,1996,3,PREDNISONE,0.0,0.0
DC,1996,4,PREDNISONE,0.0,0.0
NE,1996,1,PREDNISONE,0.0,0.0
GA,1996,2,PREDNISONE,0.0,0.0
WI,1996,4,PREDNISONE,0.0,0.0
MA,1996,4,PREDNISONE,0.0,0.0
KY,1996,4,PREDNISONE,0.0,0.0
NC,1996,1,PREDNISONE,0.0,0.0
IN,1996,2,PREDNISONE,0.0,0.0
SD,1996,2,PREDNISONE,0.0,0.0
NE,1996,1,PREDNISONE,0.0,0.0
AR,1996,3,PREDNISONE,0.0,0.0
KY,1996,1,PREDNISONE,0.0,0.0
NJ,1996,4,PREDNISONE,0.0,0.0
MA,1996,4,CHLOROQUIN,0.0,0.0
NE,1996,1,PREDNISONE,0.0,0.0
CO,1996,1,PREDNISONE,0.0,0.0
ID,1996,4,PREDNISONE,0.0,0.0
LA,1996,2,PREDNISONE,0.0,0.0
MA,1996,1,PREDNISONE,0.0,0.0
NM,1996,4,PREDNISONE,0.0,0.0
VT,1996,1,PREDNISONE,0.0,0.0
LA,1996,3,PREDNISONE,0.0,0.0
WI,1996,1,PREDNISONE,0.0,0.0
IL,1996,4,PREDNISONE,0.0,0.0
PA,1996,4,PREDNISONE,0.0,0.0
WV,1996,4,PREDNISONE,0.0,0.0
AL,1996,3,PREDNISONE,0.0,0.0
MN,1996,3,PREDNISONE,0.0,0.0
FL,1996,1,PREDNISONE,0.0,0.0
RI,1996,2,PREDNISONE,0.0,0.0
ND,1996,2,PREDNISONE,0.0,0.0
MS,1996,1,PREDNISONE,0.0,0.0
DC,1996,4,CHLORHEXID,0.0,0.0
OR,1996,4,PREDNISONE,0.0,0.0
GA,1996,2,CHLOROQUIN,0.0,0.0
WV,1996,1,PREDNISONE,0.0,0.0
MA,1996,3,PREDNISONE,0.0,0.0
MN,1996,2,PREDNISONE,0.0,0.0
MS,1996,4,PREDNISONE,0.0,0.0
VA,1996,3,PREDNISONE,0.0,0.0
WY,1996,2,PREDNISONE,0.0,0.0
KS,1996,4,PREDNISONE,0.0,0.0
IA,1996,2,PREDNISONE,0.0,0.0
ID,1996,2,PREDNISONE,0.0,0.0
PA,1996,2,PREDNISONE,0.0,0.0
CO,1996,1,PREDNISONE,0.0,0.0
LA,1996,3,PREDNISONE,0.0,0.0
WY,1996,1,CHLORHEXID,0.0,0.0
IL,1996,4,PREDNISONE,0.0,0.0
UT,1996,3,PREDNISONE,0.0,0.0
PA,1996,2,PREDNISONE,0.0,0.0
MT,1996,4,PREDNISONE,0.0,0.0
IL,1996,1,PREDNISONE,0.0,0.0
MD,1996,4,PREDNISONE,0.0,0.0
WV,1996,3,PREDNISONE,0.0,0.0
VA,1996,2,PREDNISONE,0.0,0.0
MS,1996,3,PREDNISONE,0.0,0.0
AK,1996,2,PREDNISONE,0.0,0.0
IA,1996,3,PREDNISONE,0.0,0.0
NM,1996,3,PREDNISONE,0.0,0.0
MD,1996,4,PREDNISONE,0.0,0.0
WA,1996,2,PREDNISONE,0.0,0.0
OR,1996,1,PREDNISONE,0.0,0.0
AL,1996,3,PREDNISONE,0.0,0.0
MI,1996,1,PREDNISONE,0.0,0.0
AK,1996,1,PREDNISONE,0.0,0.0
UT,1996,2,PREDNISONE,0.0,0.0
NJ,1996,1,PREDNISONE,0.0,0.0
MN,1996,3,PREDNISONE,0.0,0.0
NC,1996,1,PREDNISONE,0.0,0.0
CT,1996,1,PREDNISONE,0.0,0.0
NY,1996,4,PREDNISONE,0.0,0.0
HI,1996,1,PREDNISONE,0.0,0.0
NE,1996,1,PREDNISONE,0.0,0.0
CT,1996,4,PREDNISONE,0.0,0.0
CA,1996,1,PREDNISONE,0.0,0.0
KY,1996,3,PREDNISONE,0.0,0.0
MI,1996,1,PREDNISONE,0.0,0.0
SD,1996,1,PREDNISONE,0.0,0.0
IL,1996,1,PREDNISONE,0.0,0.0
MS,1996,3,PREDNISONE,0.0,0.0
MS,1996,1,PREDNISONE,0.0,0.0
CA,1996,3,PREDNISONE,0.0,0.0
MO,1996,4,PREDNISONE,0.0,0.0
AR,1996,1,PREDNISONE,0.0,0.0
NE,1996,2,PREDNISONE,0.0,0.0
NC,1996,3,PREDNISONE,0.0,0.0
CT,1996,3,PREDNISONE,0.0,0.0
GA,1996,4,PREDNISONE,0.0,0.0
MN,1996,3,PREDNISONE,0.0,0.0
IL,1996,2,PREDNISONE,0.0,0.0
WI,1996,1,PREDNISONE,0.0,0.0
ID,1996,3,PREDNISONE,0.0,0.0
KY,1996,4,PREDNISONE,0.0,0.0
WV,1996,2,PREDNISONE,0.0,0.0
NY,1996,4,PREDNISONE,0.0,0.0
NV,1996,3,PREDNISONE,0.0,0.0
HI,1996,4,PREDNISONE,0.0,0.0
KY,1996,3,PREDNISONE,0.0,0.0
MD,1996,3,PREDNISONE,0.0,0.0
NC,1996,1,PREDNISONE,0.0,0.0
MT,1996,2,PREDNISONE,0.0,0.0
MS,1996,2,PREDNISONE,0.0,0.0
NY,1996,3,PREDNISONE,0.0,0.0
HI,1996,1,PREDNISONE,0.0,0.0
KS,1996,4,PREDNISONE,0.0,0.0
OK,1996,4,PREDNISONE,0.0,0.0
MN,1996,4,PREDNISONE,0.0,0.0
NM,1996,3,PREDNISONE,0.0,0.0
MT,1996,3,PREDNISONE,0.0,0.0
UT,1996,3,PREDNISONE,0.0,0.0
NH,1996,1,PREDNISONE,0.0,0.0
OH,1996,3,PREDNISONE,0.0,0.0
NJ,1996,2,PREDNISONE,0.0,0.0
WV,1996,1,PREDNISONE,0.0,0.0
ID,1996,1,PREDNISONE,0.0,0.0
OH,1996,4,PREDNISONE,0.0,0.0
IA,1996,1,PREDNISONE,0.0,0.0
MS,1996,4,PREDNISONE,0.0,0.0
ND,1996,1,PREDNISONE,0.0,0.0
VA,1996,3,PREDNISONE,0.0,0.0
SD,1996,3,PREDNISONE,0.0,0.0
GA,1996,2,PREDNISONE,0.0,0.0
NJ,1996,3,PREDNISONE,0.0,0.0
ND,1996,4,PREDNISONE,0.0,0.0
WY,1996,4,PREDNISONE,0.0,0.0
VA,1996,1,PREDNISONE,0.0,0.0
NY,1996,4,PREDNISONE,0.0,0.0
CT,1996,3,PREDNISONE,0.0,0.0
MA,1996,2,PREDNISONE,0.0,0.0
FL,1996,4,PREDNISONE,0.0,0.0
NY,1996,2,PREDNISONE,0.0,0.0
VA,1996,1,PREDNISONE,0.0,0.0
IA,1996,1,PREDNISONE,0.0,0.0
AR,1996,3,PREDNISONE,0.0,0.0
NC,1996,1,PREDNISONE,0.0,0.0
SD,1996,3,PREDNISONE,0.0,0.0
IN,1996,2,PREDNISONE,0.0,0.0
CT,1996,2,PREDNISONE,0.0,0.0
WI,1996,3,PREDNISONE,0.0,0.0
NH,1996,2,PREDNISONE,0.0,0.0
SD,1996,1,PREDNISONE,0.0,0.0
CT,1996,2,PREDNISONE,0.0,0.0
OR,1996,3,PREDNISONE,0.0,0.0
ID,1996,2,PREDNISONE,0.0,0.0
PA,1996,1,PREDNISONE,0.0,0.0
WV,1996,4,PREDNISONE,0.0,0.0
VA,1996,1,PREDNISONE,0.0,0.0
NH,1996,2,PREDNISONE,0.0,0.0
GA,1996,1,PREDNISONE,0.0,0.0
NY,1996,3,PREDNISONE,0.0,0.0
SC,1996,3,PREDNISONE,0.0,0.0
DE,1996,4,PREDNISONE,0.0,0.0
KS,1996,4,PREDNISONE,0.0,0.0
PA,1996,3,PREDNISONE,0.0,0.0
SD,1996,4,PREDNISONE,0.0,0.0
FL,1996,1,PREDNISONE,0.0,0.0
FL,1996,3,PREDNISONE,0.0,0.0
IA,1996,4,PREDNISONE,0.0,0.0
WY,1996,3,PREDNISONE,0.0,0.0
AL,1996,4,PREDNISONE,0.0,0.0
NH,1996,2,PREDNISONE,0.0,0.0
VA,1996,1,PREDNISONE,0.0,0.0
LA,1996,3,PREDNISONE,0.0,0.0
MT,1996,3,PREDNISONE,0.0,0.0
WV,1996,2,PREDNISONE,0.0,0.0
LA,1996,3,PREDNISONE,0.0,0.0
AL,1996,2,PREDNISONE,0.0,0.0
AL,1996,4,PREDNISONE,0.0,0.0
RI,1996,4,PREDNISONE,0.0,0.0
CA,1996,4,PREDNISONE,0.0,0.0
FL,1996,3,PREDNISONE,0.0,0.0
NJ,1996,2,PREDNISONE,0.0,0.0
WY,1996,4,PREDNISONE,0.0,0.0
TX,1996,3,PREDNISONE,0.0,0.0
ID,1996,3,PREDNISONE,0.0,0.0
CT,1996,1,PREDNISONE,0.0,0.0
DE,1996,2,PREDNISONE,0.0,0.0
WA,1996,4,PREDNISONE,0.0,0.0
MN,1996,1,PREDNISONE,0.0,0.0
NC,1996,2,PREDNISONE,0.0,0.0
ME,1996,3,CHLORHEXID,0.0,0.0
HI,1996,4,PREDNISONE,0.0,0.0
AR,1996,4,PREDNISONE,0.0,0.0
TX,1996,3,PREDNISONE,0.0,0.0
IL,1996,4,PREDNISONE,0.0,0.0
MD,1996,2,PREDNISONE,0.0,0.0
DE,1996,4,PREDNISONE,0.0,0.0
OH,1996,4,PREDNISONE,0.0,0.0
OH,1996,1,PREDNISONE,0.0,0.0
IL,1996,3,PREDNISONE,0.0,0.0
IA,1996,2,PREDNISONE,0.0,0.0
MT,1996,2,PREDNISONE,0.0,0.0
NC,1996,1,PREDNISONE,0.0,0.0
RI,1996,4,PREDNISONE,0.0,0.0
GA,1996,1,PREDNISONE,0.0,0.0
NM,1996,4,PREDNISONE,0.0,0.0
WY,1996,2,PREDNISONE,0.0,0.0
CA,1996,1,PREDNISONE,0.0,0.0
MD,1996,2,PREDNISONE,0.0,0.0
NY,1996,3,PREDNISONE,0.0,0.0
MT,1996,2,PREDNISONE,0.0,0.0
DE,1996,1,PREDNISONE,0.0,0.0
MA,1996,1,PREDNISONE,0.0,0.0
ME,1996,3,PREDNISONE,0.0,0.0
LA,1996,4,PREDNISONE,0.0,0.0
VA,1996,2,PREDNISONE,0.0,0.0
KY,1996,3,CHLORHEXID,0.0,0.0
NY,1996,2,PREDNISONE,0.0,0.0
ME,1996,3,PREDNISONE,0.0,0.0
KY,1996,2,PREDNISONE,0.0,0.0
SC,1996,4,PREDNISONE,0.0,0.0
MD,1996,4,PREDNISONE,0.0,0.0
DE,1996,4,PREDNISONE,0.0,0.0
SD,1996,3,PREDNISONE,0.0,0.0
MS,1996,4,PREDNISONE,0.0,0.0
PA,1996,1,PREDNISONE,0.0,0.0
HI,1996,2,PREDNISONE,0.0,0.0
CO,1996,3,PREDNISONE,0.0,0.0
ND,1996,1,PREDNISONE,0.0,0.0
CO,1996,3,PREDNISONE,0.0,0.0
WV,1996,3,PREDNISONE,0.0,0.0
WV,1996,4,PREDNISONE,0.0,0.0
DE,1996,3,PREDNISONE,0.0,0.0
ND,1996,3,PREDNISONE,0.0,0.0
WV,1996,2,PREDNISONE,0.0,0.0
VT,1996,3,PREDNISONE,0.0,0.0
MT,1996,4,PREDNISONE,0.0,0.0
AK,1996,2,PREDNISONE,0.0,0.0
WI,1996,3,PREDNISONE,0.0,0.0
NC,1996,1,PREDNISONE,0.0,0.0
MN,1996,4,PREDNISONE,0.0,0.0
MN,1996,3,PREDNISONE,0.0,0.0
WY,1996,2,CHLORHEXID,0.0,0.0
VA,1996,1,PREDNISONE,0.0,0.0
DC,1996,3,PREDNISONE,0.0,0.0
GA,1996,1,PREDNISONE,0.0,0.0
CA,1996,4,PREDNISONE,0.0,0.0
VT,1996,3,PREDNISONE,0.0,0.0
ID,1996,3,PREDNISONE,0.0,0.0
CA,1996,4,PREDNISONE,0.0,0.0
MN,1996,2,PREDNISONE,0.0,0.0
NV,1996,1,PREDNISONE,0.0,0.0
MD,1996,2,PREDNISONE,0.0,0.0
AL,1996,2,PREDNISONE,0.0,0.0
AR,1996,4,PREDNISONE,0.0,0.0
UT,1996,3,PREDNISONE,0.0,0.0
DE,1996,4,CHLORHEXID,0.0,0.0
DC,1996,2,PREDNISONE,0.0,0.0
OR,1996,3,PREDNISONE,0.0,0.0
WI,1996,3,PREDNISONE,0.0,0.0
AR,1996,4,PREDNISONE,0.0,0.0
MD,1996,4,PREDNISONE,0.0,0.0
VA,1996,3,PREDNISONE,0.0,0.0
DE,1996,1,PREDNISONE,0.0,0.0
WV,1996,4,PREDNISONE,0.0,0.0
MN,1996,3,PREDNISONE,0.0,0.0
OK,1996,1,PREDNISONE,0.0,0.0
HI,1996,2,PREDNISONE,0.0,0.0
DC,1996,3,PREDNISONE,0.0,0.0
KY,1996,4,PREDNISONE,0.0,0.0
AL,1996,1,PREDNISONE,0.0,0.0
IL,1996,1,PREDNISONE,0.0,0.0
OK,1996,3,PREDNISONE,0.0,0.0
AL,1996,1,PREDNISONE,0.0,0.0
GA,1996,3,PREDNISONE,0.0,0.0
WV,1996,3,PREDNISONE,0.0,0.0
OH,1996,3,PREDNISONE,0.0,0.0
MS,1996,3,PREDNISONE,0.0,0.0
VT,1996,3,PREDNISONE,0.0,0.0
MO,1996,4,PREDNISONE,0.0,0.0
DE,1996,1,PREDNISONE,0.0,0.0
IA,1996,3,PREDNISONE,0.0,0.0
VT,1996,4,PREDNISONE,0.0,0.0
WY,1996,2,PREDNISONE,0.0,0.0
SD,1996,2,PREDNISONE,0.0,0.0
ME,1996,4,PREDNISONE,0.0,0.0
IA,1996,4,PREDNISONE,0.0,0.0
WY,1996,4,PREDNISONE,0.0,0.0
ID,1996,1,PREDNISONE,0.0,0.0
SD,1996,4,PREDNISONE,0.0,0.0
NJ,1996,2,PREDNISONE,0.0,0.0
MA,1996,4,PREDNISONE,0.0,0.0
TX,1996,2,PREDNISONE,0.0,0.0
